ts_iso,wind_kts,wind_dir_deg,gust_kts,hs_m,tp_s,wave_dir_deg,ts
2025-05-20T14:24:04.171505,18.89,41.6,25.19,0.81,5.7,34.4,2025-05-20 14:24:04.171505
2025-05-20T15:24:04.171505,13.67,245.1,19.36,0.72,6.9,249.7,2025-05-20 15:24:04.171505
2025-05-20T16:24:04.171505,16.76,15.7,21.92,1.0,4.6,12.7,2025-05-20 16:24:04.171505
2025-05-20T17:24:04.171505,25.47,134.5,35.19,1.19,4.5,142.3,2025-05-20 17:24:04.171505
2025-05-20T18:24:04.171505,9.44,35.7,18.01,1.13,7.0,63.5,2025-05-20 18:24:04.171505
2025-05-20T19:24:04.171505,17.27,231.3,18.94,0.76,6.5,222.5,2025-05-20 19:24:04.171505
2025-05-20T20:24:04.171505,14.48,166.6,18.73,1.08,8.9,159.5,2025-05-20 20:24:04.171505
2025-05-20T21:24:04.171505,15.88,150.1,21.77,0.81,3.0,201.9,2025-05-20 21:24:04.171505
2025-05-20T22:24:04.171505,7.33,246.9,14.92,0.84,5.9,236.8,2025-05-20 22:24:04.171505
2025-05-20T23:24:04.171505,21.5,192.8,28.25,1.87,8.4,245.1,2025-05-20 23:24:04.171505
2025-05-21T00:24:04.171505,17.19,103.7,24.68,0.85,6.1,133.4,2025-05-21 00:24:04.171505
2025-05-21T01:24:04.171505,9.11,34.2,16.46,0.9,8.3,88.9,2025-05-21 01:24:04.171505
2025-05-21T02:24:04.171505,18.65,288.3,18.94,0.97,3.7,333.7,2025-05-21 02:24:04.171505
2025-05-21T03:24:04.171505,18.19,212.4,21.09,0.49,6.1,192.3,2025-05-21 03:24:04.171505
2025-05-21T04:24:04.171505,16.56,188.1,25.03,1.3,3.0,190.3,2025-05-21 04:24:04.171505
2025-05-21T05:24:04.171505,17.07,43.1,26.92,0.0,4.8,355.7,2025-05-21 05:24:04.171505
2025-05-21T06:24:04.171505,22.38,241.6,28.48,1.42,4.9,273.7,2025-05-21 06:24:04.171505
2025-05-21T07:24:04.171505,16.16,113.2,21.87,1.14,4.3,108.6,2025-05-21 07:24:04.171505
2025-05-21T08:24:04.171505,16.92,262.7,24.92,0.47,5.7,240.4,2025-05-21 08:24:04.171505
2025-05-21T09:24:04.171505,10.89,355.2,16.5,1.42,6.0,20.9,2025-05-21 09:24:04.171505
2025-05-21T10:24:04.171505,19.21,43.9,25.87,2.16,5.6,92.0,2025-05-21 10:24:04.171505
2025-05-21T11:24:04.171505,12.71,106.3,18.04,1.65,3.0,58.3,2025-05-21 11:24:04.171505
2025-05-21T12:24:04.171505,11.03,39.8,17.35,1.26,6.6,330.5,2025-05-21 12:24:04.171505
2025-05-21T13:24:04.171505,15.27,359.7,18.86,1.23,7.4,339.8,2025-05-21 13:24:04.171505
2025-05-21T14:24:04.171505,15.69,86.7,22.97,1.11,7.1,81.3,2025-05-21 14:24:04.171505
2025-05-21T15:24:04.171505,15.98,13.0,23.45,0.8,7.0,9.5,2025-05-21 15:24:04.171505
2025-05-21T16:24:04.171505,19.15,305.8,18.17,0.35,3.0,285.4,2025-05-21 16:24:04.171505
2025-05-21T17:24:04.171505,18.75,301.7,22.89,1.1,8.2,299.6,2025-05-21 17:24:04.171505
2025-05-21T18:24:04.171505,21.77,264.5,27.04,0.58,4.8,237.8,2025-05-21 18:24:04.171505
2025-05-21T19:24:04.171505,13.21,19.6,20.62,1.86,3.2,348.4,2025-05-21 19:24:04.171505
2025-05-21T20:24:04.171505,17.37,33.0,21.98,0.08,7.9,17.0,2025-05-21 20:24:04.171505
2025-05-21T21:24:04.171505,9.65,206.1,12.69,1.21,5.6,216.9,2025-05-21 21:24:04.171505
2025-05-21T22:24:04.171505,21.6,233.7,25.57,0.26,8.1,267.2,2025-05-21 22:24:04.171505
2025-05-21T23:24:04.171505,16.92,42.9,21.52,1.17,9.9,45.0,2025-05-21 23:24:04.171505
2025-05-22T00:24:04.171505,15.8,228.5,24.03,0.58,6.7,237.9,2025-05-22 00:24:04.171505
2025-05-22T01:24:04.171505,10.83,13.0,11.06,0.0,3.8,4.2,2025-05-22 01:24:04.171505
2025-05-22T02:24:04.171505,24.69,252.7,33.0,0.52,6.7,244.2,2025-05-22 02:24:04.171505
2025-05-22T03:24:04.171505,15.93,155.3,22.78,0.83,8.1,155.5,2025-05-22 03:24:04.171505
2025-05-22T04:24:04.171505,27.99,331.6,33.66,1.72,6.2,329.9,2025-05-22 04:24:04.171505
2025-05-22T05:24:04.171505,14.15,177.9,16.81,1.22,4.3,196.3,2025-05-22 05:24:04.171505
2025-05-22T06:24:04.171505,18.33,120.3,26.58,1.18,5.4,111.0,2025-05-22 06:24:04.171505
2025-05-22T07:24:04.171505,19.68,308.4,19.18,0.83,3.0,349.3,2025-05-22 07:24:04.171505
2025-05-22T08:24:04.171505,19.48,345.0,22.32,0.25,3.0,57.6,2025-05-22 08:24:04.171505
2025-05-22T09:24:04.171505,17.17,139.6,20.5,1.23,3.0,142.6,2025-05-22 09:24:04.171505
2025-05-22T10:24:04.171505,14.57,59.7,21.94,1.17,7.3,86.7,2025-05-22 10:24:04.171505
2025-05-22T11:24:04.171505,23.14,51.0,25.23,0.56,8.7,93.1,2025-05-22 11:24:04.171505
2025-05-22T12:24:04.171505,12.79,169.0,22.15,1.07,6.5,158.1,2025-05-22 12:24:04.171505
2025-05-22T13:24:04.171505,10.29,105.1,13.95,1.23,3.0,89.0,2025-05-22 13:24:04.171505
2025-05-22T14:24:04.171505,20.74,303.7,18.56,0.61,3.0,311.1,2025-05-22 14:24:04.171505
2025-05-22T15:24:04.171505,14.1,132.0,18.34,0.92,6.4,153.2,2025-05-22 15:24:04.171505
2025-05-22T16:24:04.171505,18.31,306.7,24.47,1.28,6.6,304.1,2025-05-22 16:24:04.171505
2025-05-22T17:24:04.171505,13.46,179.6,16.2,0.48,3.5,164.2,2025-05-22 17:24:04.171505
2025-05-22T18:24:04.171505,10.56,63.9,15.34,1.17,6.1,90.9,2025-05-22 18:24:04.171505
2025-05-22T19:24:04.171505,18.7,110.7,23.22,0.67,7.1,67.3,2025-05-22 19:24:04.171505
2025-05-22T20:24:04.171505,14.66,353.5,20.45,0.55,6.4,33.5,2025-05-22 20:24:04.171505
2025-05-22T21:24:04.171505,21.24,346.8,25.48,1.18,3.0,337.9,2025-05-22 21:24:04.171505
2025-05-22T22:24:04.171505,9.64,199.1,16.78,2.0,3.6,206.2,2025-05-22 22:24:04.171505
2025-05-22T23:24:04.171505,23.06,270.0,24.39,1.12,9.6,257.3,2025-05-22 23:24:04.171505
2025-05-23T00:24:04.171505,6.74,354.8,7.9,0.79,5.0,2.0,2025-05-23 00:24:04.171505
2025-05-23T01:24:04.171505,6.13,200.0,12.67,0.71,8.5,180.9,2025-05-23 01:24:04.171505
2025-05-23T02:24:04.171505,17.71,17.5,24.99,1.22,3.0,346.5,2025-05-23 02:24:04.171505
2025-05-23T03:24:04.171505,16.18,266.2,16.91,1.22,4.4,287.6,2025-05-23 03:24:04.171505
2025-05-23T04:24:04.171505,16.21,1.6,19.37,1.73,5.1,9.7,2025-05-23 04:24:04.171505
2025-05-23T05:24:04.171505,11.9,241.8,18.32,0.73,5.2,210.6,2025-05-23 05:24:04.171505
2025-05-23T06:24:04.171505,2.94,212.5,12.77,2.27,5.2,203.2,2025-05-23 06:24:04.171505
2025-05-23T07:24:04.171505,13.57,123.1,18.0,0.44,7.2,78.3,2025-05-23 07:24:04.171505
2025-05-23T08:24:04.171505,18.5,49.3,29.65,1.09,5.3,67.7,2025-05-23 08:24:04.171505
2025-05-23T09:24:04.171505,6.35,48.4,11.84,0.8,9.7,98.4,2025-05-23 09:24:04.171505
2025-05-23T10:24:04.171505,9.48,228.4,16.24,1.16,4.3,264.8,2025-05-23 10:24:04.171505
2025-05-23T11:24:04.171505,13.38,102.4,13.31,0.99,4.2,100.0,2025-05-23 11:24:04.171505
2025-05-23T12:24:04.171505,6.47,267.2,6.62,1.24,5.0,290.8,2025-05-23 12:24:04.171505
2025-05-23T13:24:04.171505,16.36,56.0,19.22,0.34,7.7,127.4,2025-05-23 13:24:04.171505
2025-05-23T14:24:04.171505,17.1,171.5,23.26,0.92,7.6,209.0,2025-05-23 14:24:04.171505
2025-05-23T15:24:04.171505,12.39,36.7,16.09,0.76,7.6,22.9,2025-05-23 15:24:04.171505
2025-05-23T16:24:04.171505,12.88,345.5,18.82,0.88,7.9,320.7,2025-05-23 16:24:04.171505
2025-05-23T17:24:04.171505,11.09,185.8,9.13,0.52,4.2,219.2,2025-05-23 17:24:04.171505
2025-05-23T18:24:04.171505,13.77,251.3,15.68,0.97,8.1,224.0,2025-05-23 18:24:04.171505
2025-05-23T19:24:04.171505,17.79,40.3,22.13,1.32,6.0,9.3,2025-05-23 19:24:04.171505
2025-05-23T20:24:04.171505,14.94,155.3,19.31,0.39,3.0,144.7,2025-05-23 20:24:04.171505
2025-05-23T21:24:04.171505,9.89,172.8,14.6,1.56,3.0,145.1,2025-05-23 21:24:04.171505
2025-05-23T22:24:04.171505,22.31,165.9,28.15,1.38,3.7,179.3,2025-05-23 22:24:04.171505
2025-05-23T23:24:04.171505,15.29,3.3,21.94,0.91,6.6,26.7,2025-05-23 23:24:04.171505
2025-05-24T00:24:04.171505,19.04,204.9,19.18,0.0,8.0,174.3,2025-05-24 00:24:04.171505
2025-05-24T01:24:04.171505,5.7,58.6,11.0,1.47,9.6,47.4,2025-05-24 01:24:04.171505
2025-05-24T02:24:04.171505,10.53,217.2,15.57,0.85,4.0,270.8,2025-05-24 02:24:04.171505
2025-05-24T03:24:04.171505,20.68,216.3,22.92,1.43,7.3,253.8,2025-05-24 03:24:04.171505
2025-05-24T04:24:04.171505,18.18,124.7,25.4,1.32,6.7,127.2,2025-05-24 04:24:04.171505
2025-05-24T05:24:04.171505,12.22,114.2,13.38,1.84,9.5,121.8,2025-05-24 05:24:04.171505
2025-05-24T06:24:04.171505,21.75,62.3,26.79,1.1,3.8,64.1,2025-05-24 06:24:04.171505
2025-05-24T07:24:04.171505,8.49,210.5,13.33,0.96,9.6,210.8,2025-05-24 07:24:04.171505
2025-05-24T08:24:04.171505,16.24,98.3,21.38,0.9,3.8,76.0,2025-05-24 08:24:04.171505
2025-05-24T09:24:04.171505,8.75,6.5,15.28,1.2,3.0,36.4,2025-05-24 09:24:04.171505
2025-05-24T10:24:04.171505,20.3,199.3,28.37,1.02,4.3,209.6,2025-05-24 10:24:04.171505
2025-05-24T11:24:04.171505,16.9,354.0,25.76,1.55,5.7,344.5,2025-05-24 11:24:04.171505
2025-05-24T12:24:04.171505,16.09,146.9,20.48,0.71,6.5,128.0,2025-05-24 12:24:04.171505
2025-05-24T13:24:04.171505,16.56,346.2,20.35,1.12,6.5,331.7,2025-05-24 13:24:04.171505
2025-05-24T14:24:04.171505,22.19,316.2,23.7,0.0,3.0,317.1,2025-05-24 14:24:04.171505
2025-05-24T15:24:04.171505,14.41,205.2,23.05,0.0,6.8,171.3,2025-05-24 15:24:04.171505
2025-05-24T16:24:04.171505,13.1,73.6,15.84,0.55,5.3,128.7,2025-05-24 16:24:04.171505
2025-05-24T17:24:04.171505,13.32,319.5,24.04,1.02,9.5,323.5,2025-05-24 17:24:04.171505
2025-05-24T18:24:04.171505,16.83,216.6,31.36,1.43,4.6,205.8,2025-05-24 18:24:04.171505
2025-05-24T19:24:04.171505,12.55,47.2,20.28,1.02,6.6,57.3,2025-05-24 19:24:04.171505
2025-05-24T20:24:04.171505,17.12,35.6,16.31,1.33,4.0,33.9,2025-05-24 20:24:04.171505
2025-05-24T21:24:04.171505,15.42,187.9,18.34,1.42,3.3,170.4,2025-05-24 21:24:04.171505
2025-05-24T22:24:04.171505,14.77,234.9,20.6,0.5,7.4,178.1,2025-05-24 22:24:04.171505
2025-05-24T23:24:04.171505,5.21,315.6,10.17,0.89,5.8,322.4,2025-05-24 23:24:04.171505
2025-05-25T00:24:04.171505,19.74,49.6,21.4,0.41,3.8,87.0,2025-05-25 00:24:04.171505
2025-05-25T01:24:04.171505,12.84,195.3,10.34,0.15,4.3,183.0,2025-05-25 01:24:04.171505
2025-05-25T02:24:04.171505,15.19,264.6,19.26,1.52,4.6,279.0,2025-05-25 02:24:04.171505
2025-05-25T03:24:04.171505,7.32,74.5,13.49,1.05,5.7,55.8,2025-05-25 03:24:04.171505
2025-05-25T04:24:04.171505,25.3,304.7,29.63,0.36,6.1,282.2,2025-05-25 04:24:04.171505
2025-05-25T05:24:04.171505,16.99,306.5,23.65,0.69,8.0,349.6,2025-05-25 05:24:04.171505
2025-05-25T06:24:04.171505,17.65,338.4,26.74,0.06,5.4,342.0,2025-05-25 06:24:04.171505
2025-05-25T07:24:04.171505,12.14,193.2,16.64,1.94,5.7,186.2,2025-05-25 07:24:04.171505
2025-05-25T08:24:04.171505,15.38,343.2,20.4,1.22,8.3,352.4,2025-05-25 08:24:04.171505
2025-05-25T09:24:04.171505,17.95,42.8,19.5,0.96,7.9,49.2,2025-05-25 09:24:04.171505
2025-05-25T10:24:04.171505,19.43,191.5,25.9,1.6,6.6,201.6,2025-05-25 10:24:04.171505
2025-05-25T11:24:04.171505,0.35,55.0,6.5,0.0,3.0,69.4,2025-05-25 11:24:04.171505
2025-05-25T12:24:04.171505,9.19,224.2,12.05,1.69,5.0,224.1,2025-05-25 12:24:04.171505
2025-05-25T13:24:04.171505,17.04,230.0,26.89,1.07,4.0,229.0,2025-05-25 13:24:04.171505
2025-05-25T14:24:04.171505,8.18,46.5,12.41,0.63,7.8,38.0,2025-05-25 14:24:04.171505
2025-05-25T15:24:04.171505,14.47,261.4,20.14,1.31,4.0,294.6,2025-05-25 15:24:04.171505
2025-05-25T16:24:04.171505,12.94,123.4,13.69,1.22,6.9,130.3,2025-05-25 16:24:04.171505
2025-05-25T17:24:04.171505,18.68,321.3,24.8,1.32,3.2,312.2,2025-05-25 17:24:04.171505
2025-05-25T18:24:04.171505,12.59,265.9,20.2,1.74,9.6,262.6,2025-05-25 18:24:04.171505
2025-05-25T19:24:04.171505,16.76,150.9,24.06,1.06,6.3,149.2,2025-05-25 19:24:04.171505
2025-05-25T20:24:04.171505,11.35,33.0,15.11,1.32,6.0,53.1,2025-05-25 20:24:04.171505
2025-05-25T21:24:04.171505,13.13,71.2,20.39,1.19,3.5,56.2,2025-05-25 21:24:04.171505
2025-05-25T22:24:04.171505,6.72,99.1,8.59,0.49,6.1,88.9,2025-05-25 22:24:04.171505
2025-05-25T23:24:04.171505,18.1,195.1,24.12,1.16,6.8,131.9,2025-05-25 23:24:04.171505
2025-05-26T00:24:04.171505,13.18,115.4,11.64,1.02,6.0,151.0,2025-05-26 00:24:04.171505
2025-05-26T01:24:04.171505,16.01,315.0,19.51,1.24,4.9,344.6,2025-05-26 01:24:04.171505
2025-05-26T02:24:04.171505,12.21,196.0,19.63,1.34,4.1,217.0,2025-05-26 02:24:04.171505
2025-05-26T03:24:04.171505,15.51,332.6,18.22,0.57,4.9,303.9,2025-05-26 03:24:04.171505
2025-05-26T04:24:04.171505,17.19,173.0,18.46,0.9,6.2,131.7,2025-05-26 04:24:04.171505
2025-05-26T05:24:04.171505,22.36,210.9,27.81,1.21,6.2,206.3,2025-05-26 05:24:04.171505
2025-05-26T06:24:04.171505,22.27,2.7,25.9,1.57,4.7,330.5,2025-05-26 06:24:04.171505
2025-05-26T07:24:04.171505,17.28,41.7,26.61,0.96,5.6,34.8,2025-05-26 07:24:04.171505
2025-05-26T08:24:04.171505,7.04,223.1,9.3,1.11,8.6,205.5,2025-05-26 08:24:04.171505
2025-05-26T09:24:04.171505,22.18,97.4,27.91,0.92,6.9,100.7,2025-05-26 09:24:04.171505
2025-05-26T10:24:04.171505,12.96,152.5,13.76,0.23,7.3,134.6,2025-05-26 10:24:04.171505
2025-05-26T11:24:04.171505,15.04,359.8,22.43,1.09,4.7,357.8,2025-05-26 11:24:04.171505
2025-05-26T12:24:04.171505,22.9,166.0,29.38,1.49,8.5,184.5,2025-05-26 12:24:04.171505
2025-05-26T13:24:04.171505,17.99,299.6,24.55,0.45,7.4,275.7,2025-05-26 13:24:04.171505
2025-05-26T14:24:04.171505,21.52,176.9,29.04,1.74,5.5,169.6,2025-05-26 14:24:04.171505
2025-05-26T15:24:04.171505,15.51,192.2,20.75,1.57,5.3,162.5,2025-05-26 15:24:04.171505
2025-05-26T16:24:04.171505,17.25,12.5,22.26,0.63,5.5,4.4,2025-05-26 16:24:04.171505
2025-05-26T17:24:04.171505,23.86,296.3,28.56,0.88,3.0,288.4,2025-05-26 17:24:04.171505
2025-05-26T18:24:04.171505,11.57,92.7,20.72,0.92,8.6,93.8,2025-05-26 18:24:04.171505
2025-05-26T19:24:04.171505,14.56,78.9,19.57,1.86,3.0,62.6,2025-05-26 19:24:04.171505
2025-05-26T20:24:04.171505,15.07,63.1,22.14,1.24,5.2,94.0,2025-05-26 20:24:04.171505
2025-05-26T21:24:04.171505,15.92,161.5,23.81,1.14,4.9,164.9,2025-05-26 21:24:04.171505
2025-05-26T22:24:04.171505,15.01,79.5,24.43,0.0,3.2,68.6,2025-05-26 22:24:04.171505
2025-05-26T23:24:04.171505,13.73,298.3,14.2,0.51,4.3,352.3,2025-05-26 23:24:04.171505
2025-05-27T00:24:04.171505,12.94,93.7,16.85,0.43,3.0,63.7,2025-05-27 00:24:04.171505
2025-05-27T01:24:04.171505,14.58,97.5,14.78,0.62,6.3,110.0,2025-05-27 01:24:04.171505
2025-05-27T02:24:04.171505,8.4,0.4,15.96,0.6,7.3,319.1,2025-05-27 02:24:04.171505
2025-05-27T03:24:04.171505,13.42,169.2,19.52,1.31,5.7,199.4,2025-05-27 03:24:04.171505
2025-05-27T04:24:04.171505,13.72,70.4,20.97,1.97,9.9,42.6,2025-05-27 04:24:04.171505
2025-05-27T05:24:04.171505,22.42,63.4,24.25,0.34,5.0,60.3,2025-05-27 05:24:04.171505
2025-05-27T06:24:04.171505,11.75,128.7,14.72,0.64,4.2,137.6,2025-05-27 06:24:04.171505
2025-05-27T07:24:04.171505,19.43,35.9,22.97,0.91,4.6,354.6,2025-05-27 07:24:04.171505
2025-05-27T08:24:04.171505,5.95,271.5,4.2,0.4,8.6,310.3,2025-05-27 08:24:04.171505
2025-05-27T09:24:04.171505,17.05,116.6,24.4,0.55,7.0,99.3,2025-05-27 09:24:04.171505
2025-05-27T10:24:04.171505,17.8,179.5,24.5,0.73,3.8,182.1,2025-05-27 10:24:04.171505
2025-05-27T11:24:04.171505,16.64,69.6,19.26,1.01,7.1,116.1,2025-05-27 11:24:04.171505
2025-05-27T12:24:04.171505,21.38,155.3,23.38,1.84,4.9,157.4,2025-05-27 12:24:04.171505
2025-05-27T13:24:04.171505,12.94,162.4,12.52,0.91,3.0,207.9,2025-05-27 13:24:04.171505
2025-05-27T14:24:04.171505,11.02,124.5,16.92,0.64,4.7,123.3,2025-05-27 14:24:04.171505
2025-05-27T15:24:04.171505,23.7,77.2,27.25,1.5,6.2,63.8,2025-05-27 15:24:04.171505
2025-05-27T16:24:04.171505,14.75,215.1,19.41,0.58,7.3,232.9,2025-05-27 16:24:04.171505
2025-05-27T17:24:04.171505,22.68,208.4,32.03,0.81,6.7,209.1,2025-05-27 17:24:04.171505
2025-05-27T18:24:04.171505,12.0,267.6,21.86,1.18,5.6,202.5,2025-05-27 18:24:04.171505
2025-05-27T19:24:04.171505,4.93,119.1,12.32,1.03,6.5,118.4,2025-05-27 19:24:04.171505
2025-05-27T20:24:04.171505,25.02,279.0,32.49,1.08,5.1,215.1,2025-05-27 20:24:04.171505
2025-05-27T21:24:04.171505,16.29,67.5,23.82,0.21,4.7,38.6,2025-05-27 21:24:04.171505
2025-05-27T22:24:04.171505,15.27,203.2,14.01,1.31,7.5,128.8,2025-05-27 22:24:04.171505
2025-05-27T23:24:04.171505,10.02,42.6,18.72,0.0,5.3,66.8,2025-05-27 23:24:04.171505
2025-05-28T00:24:04.171505,11.62,8.6,17.84,1.28,9.7,19.9,2025-05-28 00:24:04.171505
2025-05-28T01:24:04.171505,7.57,135.6,16.15,0.62,4.9,88.7,2025-05-28 01:24:04.171505
2025-05-28T02:24:04.171505,16.14,50.3,24.05,1.15,3.0,72.5,2025-05-28 02:24:04.171505
2025-05-28T03:24:04.171505,5.61,291.2,7.39,1.44,6.5,347.0,2025-05-28 03:24:04.171505
2025-05-28T04:24:04.171505,17.34,154.4,24.32,2.36,5.6,167.3,2025-05-28 04:24:04.171505
2025-05-28T05:24:04.171505,17.19,14.5,20.61,0.48,10.6,352.6,2025-05-28 05:24:04.171505
2025-05-28T06:24:04.171505,19.58,301.5,24.25,0.87,7.1,312.1,2025-05-28 06:24:04.171505
2025-05-28T07:24:04.171505,24.56,204.3,30.96,0.81,5.0,196.7,2025-05-28 07:24:04.171505
2025-05-28T08:24:04.171505,13.11,68.2,20.86,0.13,7.7,79.5,2025-05-28 08:24:04.171505
2025-05-28T09:24:04.171505,9.37,298.8,18.35,1.62,7.9,323.7,2025-05-28 09:24:04.171505
2025-05-28T10:24:04.171505,17.02,196.4,17.21,0.99,6.7,201.8,2025-05-28 10:24:04.171505
2025-05-28T11:24:04.171505,16.46,164.3,25.88,1.61,3.0,159.4,2025-05-28 11:24:04.171505
2025-05-28T12:24:04.171505,6.24,280.8,11.52,1.62,3.8,253.3,2025-05-28 12:24:04.171505
2025-05-28T13:24:04.171505,11.64,74.1,21.07,0.73,6.9,130.0,2025-05-28 13:24:04.171505
2025-05-28T14:24:04.171505,18.01,85.1,22.47,1.29,3.2,75.4,2025-05-28 14:24:04.171505
2025-05-28T15:24:04.171505,13.98,328.5,17.5,0.71,7.4,348.0,2025-05-28 15:24:04.171505
2025-05-28T16:24:04.171505,14.96,311.1,21.5,0.79,10.5,348.9,2025-05-28 16:24:04.171505
2025-05-28T17:24:04.171505,21.84,340.4,24.28,2.11,8.0,341.3,2025-05-28 17:24:04.171505
2025-05-28T18:24:04.171505,13.91,235.1,18.29,1.2,8.8,207.8,2025-05-28 18:24:04.171505
2025-05-28T19:24:04.171505,19.12,337.2,26.89,1.33,7.5,309.3,2025-05-28 19:24:04.171505
2025-05-28T20:24:04.171505,10.66,157.2,10.75,1.12,5.8,68.5,2025-05-28 20:24:04.171505
2025-05-28T21:24:04.171505,8.76,213.5,17.13,0.67,6.7,256.6,2025-05-28 21:24:04.171505
2025-05-28T22:24:04.171505,14.28,322.8,20.15,2.16,9.0,305.0,2025-05-28 22:24:04.171505
2025-05-28T23:24:04.171505,13.37,154.1,19.9,0.95,5.2,150.7,2025-05-28 23:24:04.171505
2025-05-29T00:24:04.171505,26.5,241.9,31.77,1.89,6.7,220.1,2025-05-29 00:24:04.171505
2025-05-29T01:24:04.171505,10.73,265.2,17.11,1.49,6.1,224.4,2025-05-29 01:24:04.171505
2025-05-29T02:24:04.171505,7.86,225.7,7.56,1.05,8.3,157.8,2025-05-29 02:24:04.171505
2025-05-29T03:24:04.171505,14.05,55.6,18.56,2.05,3.1,106.8,2025-05-29 03:24:04.171505
